,Comment,Date
0,"As a flight attendant, I hope RDU is going to add more direct international flying! I would love to not always have to go through PHL...lol. Keep up the good work! Of all the airports I have beenin, RDU is by far one of the best! > Raleigh-Durham International Airport (RDU) an hour ago",6/16/2015
1,"As a Raleigh native who remembers when RDU was a tiny terminal that looked like a bus station and you had to wait over an hour to see a single plane take off or land, I'm always pleased andproud these days when I overhear visitors in the terminal saying ""This is a really nice airport!""",6/16/2015
2,I recommend that you add a spaceport and docking for the USS Enterprise.,6/16/2015
3,AMS would make me happy lol,6/16/2015
4,I would love a nonstop to CDG or FRA!,6/16/2015
5,"@WakeGOV @RDUAirport Please, please, please consider a direct flight to #SanAntonio or #Austin!",6/23/2015
6,@Wraltraffic @RDUAirport A small taproom from one of the local breweries! @919Beer,6/24/2015
7,@wraltraffic @RDUAirport More public transit from Raleigh to RDU.,6/24/2015
8,@wraltraffic @RDUAirport a better wifi provider the boingo wifi is terrible,6/24/2015
9,"@wraltraffic @WRAL @RDUAirport Rapid transit from places like Chapel Hill, Durham, and Raleigh TravelingRoths",6/24/2015
10,@gogoraleigh @wraltraffic @RDUAirport I'd like to take a train to the airport. OldPrivy,6/24/2015
11,@wraltraffic @RDUAirport Free wifi. Bathrooms like SDF. Longer merging lanes. conpat,6/24/2015
12,@wraltraffic @WRAL @RDUAirport cheaper flights,6/24/2015
13,@wraltraffic @RDUAirport A monorail system to go between terminals. Like DFW has,6/24/2015
14,@wraltraffic @RDUAirport one word UBER,6/26/2015
15,"New transit to airport for workers and customers, does not need to be rail.",6/28/2015
16,The public lands and trail networks at Umstead State Park & Lake Crabtree County Park have great value to the community. They are heavily used and use is growing. This land has highpotential if park land are protected & enhanced through integration of trail networks.,6/28/2015
17,Public Transportation to the Triangle City centers is important for tourism. The airport should be commended for supporting the USO. I hop the support will continue.,6/28/2015
18,I am interested in seeing public access to the excellent Crabtree County Park bike trails. I am also a homeowner at Medfield Estates and my community is concerned about the impact ofchanges to flight paths and increase noise.,6/28/2015
19,The PAC & TAC committees should be known to the public as of tonight. I am interested as an adjacent landowner to save the opportunity to serve on the committee as a stakeholder.,6/28/2015
20,"I think the RDU Airport needs shoeshine concessions outside of security as well as inside of security, for the hundreds of people who come to the airport for business, work or whateverreasons. The airport has always been a place where people believe they can get a shoeshine so please make room for this needed service. The name of my shoeshine company is ClassicBootblack, and I have been doing this for more than 30 years. I am very professional at what I do and would like to be involved in the future plans for the airport.",6/28/2015
21,"We are uses of Crabtree County Park mountain biking trails and Umstead area. We would like commercial development options to avoid that area - and consider other pieces of property anddevelopment options to generate income needed. Triangle Greenspace is important to people living in and travelling to this area. If the lease with Crabtree is ultimately ended, we would like tosee other green spaces leased to the county in it's place, so that a multi-user or ride center can be created.",6/28/2015
22,"More International Flights Re-build the ""ends"" of Terminal 1 Ability to accommodate an airline hub in the event one choose RDU How to develop nearby and airport owned land How to be abigger catalyst for regional economic growth in a RTA and other entities Financing to maintain and expand the airport",6/28/2015
23,Growth in the triangle area is pushing out local recreation. Mountain biking areas are constantly being lost to development. I view Umstead and Crabtree like Central Park in NY. Recruitingtechnically skilled workers will be difficult if there are no recreational areas.,6/28/2015
24,I like the idea of rental car fees and hotel tax/ fee going to airport.,6/28/2015
25,"I support the continued preservation and operation of LCCP - Lake Crabtree County Park, 5 miles of trails which are open to hickers too exist at LCCP. These trails connect to established trailsin Umstead Park. Also the Cary Greenways connect to LCCP. Please consider that boating, picnicking, and other recreational activities abound at LCCP.",6/28/2015
26,"We are excited to protect our bike trails @ LCCP and would love to extend the sanctuary trails in partnership with RDU, Wake County and Morrisville, NC. :)",6/28/2015
27,"@RDUAirport Great suggestion. Thanks for your service. Y'all deserve first-class treatment! 21 minutes ago @chouchoutv @RDUAirport more room for USO, there are many of us military mem",6/29/2015
28,@chouchoutv @WRAL @RDUAirport Leave as is.,6/29/2015
29,"I don't know; I love RDU the way it is, and it's not the concrete jungle like most major airports. It's like an airport in a park. I'm very weary of development, because I find RDU convenient enoughalready - and so do many folks I talk to. Besides, there is a cemetery there, and it should be kept quiet and respectful. Suggestion (as I'm not going to be able to make it to the meeting):Raleigh, being the capital, I feel does not pay tribute enough to our state's honor of being first in flight; a little North Carolina aviation history sprinkled throughout RDU, maybe a small museum,would be *excellent!*",6/29/2015
30,"Anyone who lived here through the 70’s and 80’s will remember all too well RDU Airport’s notorious Plan B Expansion initiative. That plan, which very nearly came to fruition, would have turnedmajor runways 180 degrees, paralleling Rt. 40 and sending low-flying air traffic directly over Umstead State Park, Meredith College and NC State, not to mention the homes of thousands of newTriangle residents who thought they’d made wise decisions, choosing to purchase their new homes in quiet residential areas likely to increase in value. It took years for citizens of this area tofight RDU to a standstill, forcing them to back down, retain their existing runway configuration, and avoid turning the noise corridor such that it was in total conflict with decades of land useplanning designed to be compatible with the noise impact of overflights. TRIANGLE CITIZENS BEWARE . . . do not fail to inform yourselves about this new airport master planninig process orto take this opportunity to ensure the RDU Airport Authority does not try once again to take away the peace and tranquility of your neighborhoods and the value of your properties in its drive toprovide an “efficient airport in a cost-effective (!!!) manner”. We don’t want to have to fight the RDU monster yet again . . . but I have a gut-wrenching feeling that’s what will come to pass if wefail to nip it in the bud early on!",6/29/2015
31,"@RDUAirport work on baggage, parking pay and not having to go back upstairs to cross over just to go down for parking",6/29/2015
32,"@chouchoutv @WRAL @RDUAirport more parking, another Starbucks, and additional security checkpoints #Vision2040",6/29/2015
33,"My first question would be: ""Is the airport authority actively involved with the development of light rail in the triangle? And if not why not? And why wouldn't it make economical, environmental,and developmental since to have light rail stopping AT the terminals on there way between Raleigh and Durham / Chapel Hill?This would reduce vast amounts of traffic and allow business travelers to transfer to their business or hotel location. This would make the Triangle much more attractive to business relocations.Why wouldn't the airport authority support this unless it is a fear of loss of parking revenue?Thanks for presenting these questions. I look forward to your direct answer or answers during these forums.",6/30/2015
34,person wants a Bojangles - @Bojangles1977 @chouchoutv @RDUAirport +1000 #BoTime #SouthernHospitality,6/30/2015
35,"@RDUAirport #rdu2040 if there's not a rail line INTO RDU planned then its not a vision for the future, but a look into the past. Dberwyn",6/30/2015
36,@RDUAirport Thanks for live-tweeting - you might want to consider Periscope tomorrow night for those without Windows. #rdu2040 BlairHinkle,6/30/2015
37,"@RDUAirport #gottaworkonbaggage You have the longest waits for luggage of any airport we travel to, including major cities. jwalters0529 replied to RDUAirport",6/30/2015
38,Piggy backing on earlier Bojangles &#9881; @mayordwilliams @Bojangles1977 @chouchoutv @RDUAirport if ATL and Charlotte have one...so should we!!!,6/30/2015
39,"I am writing today on behalf of TigerSwan, Inc., a Service-Disabled Veteran-Owned Small Business located in Apex, NC. We provide tailored vulnerability assessments and analysis andsecurity training. Additionally, we provide â€oeGuardian Angelâ€• services which offer an both inexpensive and discrete method to both consistently and passively monitor the location of ourclients and to rapidly identify their location in a time of active shooter scenario, kidnapping, extreme crisis or violent act. _x000D__x000D_The global community has increasingly been the target of acts of violence and active shooter scenarios. To complement both our emergency reaction plans and our facility vulnerabilityassessments, we provide a cost effective way to rapidly identify the location of staff and students during times of crisis. Our app also provides a virtual geo-fence which sends out an immediatenotification if the designated perimeter is breached. We are confident that our product would provide great assistance in enhancing the safety of travelers and staff while at RDU and whileengaging in international travel._x000D__x000D_Since 2007, TigerSwan has been performing globally and have been providing location monitoring and response services, advisory services, as well support for agriculture and infrastructureinitiatives and general nation-building. Our current clients include the Department of Homeland Security (DHS), the U.S. Department of State (DOS) and the U.S. Department of Defense (DoD),The Department of Alcohol, Tobacco and Firearms (ATF), University Health Systems, multiple multi-national new organizations, and US-based and international corporations. TigerSwanprovides a full complement of vulnerability assessments and emergency reaction plans that can assist in keeping staff and students safe during time of violence and crisis. We are also leadersin providing training on situational awareness. This training gives the tools needed to quickly identify the warning signs of a threat and provides step-by-step guidance on avoiding and/ormitigating the danger. _x000D__x000D_We would very much like to speak with you to discuss the possibility of conducting courses/seminars to train your staff on how to maintain their personal safety even in extreme situations. Ihave attached, for your review, our general capabilities statements. _x000D__x000D_I thank you in advance for your time and I look forward to speaking with you further regarding our capabilities. Please let me know if you have any questions. We are available to meet with youat your location and at your convenience. _x000D__x000D_Very Respectfully",6/30/2015
40,"Some of this vision 2040 process should be held online to allow people with disabilities and anyone else to be involved easily. This would allow more people to be involved with the process._x000D__x000D_Also, I would like to be able to ask questions to the presenters or panels at these discussions via email, text, or tweet in order to reduce my environmental impact._x000D__x000D_My first question would be: ""Is the airport authority actively involved with the development of light rail in the triangle? And if not why not? And why wouldn't it make economical, environmental,and developmental since to have light rail stopping AT the terminals on there way between Raleigh and Durham / Chapel Hill?_x000D__x000D_This would reduce vast amounts of traffic and allow business travelers to transfer to their business or hotel location. This would make the Triangle much more attractive to business relocations.Why wouldn't the airport authority support this unless it is a fear of loss of parking revenue?_x000D__x000D_Thanks for presenting these questions. I look forward to your direct answer or answers during these forums.",6/30/2015
41,Please contact me. I have a question.,6/30/2015
42,How can we get on an email list to receive notices of future public meetings on RDU's expansion plans. Thank you in advance for info.,7/1/2015
